"","station","pdid","preyspeciescommon","preyspecieslatin","length_mm_pd","weight_kg_pd","year","date","count","biomass_kg","season","lat","long","bottomwatertemp_c","stratumarea_km2","pyamtw","pyamtn","area"
"1","CM20020301040",1,"bay anchovy","Anchoa mitchilli",428,0.778,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,21.44,24,"CB"
"2","CM20020301040",1,"sand shrimp","Crangon septemspinosa",428,0.778,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,7.67,9,"CB"
"3","CM20020301040",1,"spotted hake","Urophycis regia",428,0.778,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,6.43,1,"CB"
"4","CM20020301040",1,"unidentified material","unidentified material",428,0.778,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,3.31,0,"CB"
"5","CM20020301040",2,"bay anchovy","Anchoa mitchilli",536,1.518,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,0.308,2,"CB"
"6","CM20020301040",2,"sand shrimp","Crangon septemspinosa",536,1.518,2002,"07-Apr-02",2,2.296,"March",38.13,-76.22,10.48,20.21353624,71.364,93,"CB"
"7","CM20020301052",2,"sand shrimp","Crangon septemspinosa",343,0.412,2002,"01-Apr-02",3,1.138,"March",37.53,-76.23,10.56,583.17241081,1.03,2,"CB"
"8","CM20020301059",1,"sand shrimp","Crangon septemspinosa",322,0.298,2002,"01-Apr-02",2,1.268,"March",37.5,-76.12,10.28,759.62508277,1.41,3,"CB"
"9","CM20020301065",1,"sand shrimp","Crangon septemspinosa",348,0.422,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,2.26,6,"CB"
"10","CM20020301065",2,"sand shrimp","Crangon septemspinosa",338,0.368,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,0.47,1,"CB"
"11","CM20020301065",3,"bay anchovy","Anchoa mitchilli",342,0.442,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,0.11,1,"CB"
"12","CM20020301065",3,"sand shrimp","Crangon septemspinosa",342,0.442,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,2.42,6,"CB"
"13","CM20020301065",4,"sand shrimp","Crangon septemspinosa",302,0.266,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,1.049,3,"CB"
"14","CM20020301065",5,"bay anchovy","Anchoa mitchilli",324,0.332,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,0.09,1,"CB"
"15","CM20020301065",5,"sand shrimp","Crangon septemspinosa",324,0.332,2002,"01-Apr-02",5,1.83,"March",37.48,-76.06,10.38,759.62508277,0.43,2,"CB"
"16","CM20020301090",1,"bay anchovy","Anchoa mitchilli",333,0.388,2002,"08-Apr-02",1,0.388,"March",37.25,-76.08,11.7,102.24002981,1.06,2,"CB"
"17","CM20020301090",1,"sand shrimp","Crangon septemspinosa",333,0.388,2002,"08-Apr-02",1,0.388,"March",37.25,-76.08,11.7,102.24002981,3.25,4,"CB"
"18","CM20020501037",1,"mysid","Neomysis americana",226,0.104,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.184,29,"CB"
"19","CM20020501037",1,"sand shrimp","Crangon septemspinosa",226,0.104,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.064,3,"CB"
"20","CM20020501037",2,"bay anchovy","Anchoa mitchilli",208,0.094,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.852,2,"CB"
"21","CM20020501037",2,"mysid","Neomysis americana",208,0.094,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.018,5,"CB"
"22","CM20020501037",2,"sand shrimp","Crangon septemspinosa",208,0.094,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.22,2,"CB"
"23","CM20020501037",3,"mysid","Neomysis americana",230,0.118,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.353,55,"CB"
"24","CM20020501037",4,"sand shrimp","Crangon septemspinosa",224,0.102,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.812,6,"CB"
"25","CM20020501037",5,"bay anchovy","Anchoa mitchilli",234,0.112,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.248,2,"CB"
"26","CM20020501037",5,"sand shrimp","Crangon septemspinosa",234,0.112,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.241,3,"CB"
"27","CM20020501037",6,"bay anchovy","Anchoa mitchilli",222,0.084,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.566,2,"CB"
"28","CM20020501037",6,"mysid","Neomysis americana",222,0.084,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.005,1,"CB"
"29","CM20020501037",6,"unidentified material","unidentified material",222,0.084,2002,"20-May-02",6,0.614,"May",38.12,-76.26,17.9,434.82707912,0.024,0,"CB"
"30","CM20020501085",1,"bay anchovy","Anchoa mitchilli",236,0.124,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.102,1,"CB"
"31","CM20020501085",1,"mysid","Neomysis americana",236,0.124,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,2.239,332,"CB"
"32","CM20020501085",1,"sand shrimp","Crangon septemspinosa",236,0.124,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.075,1,"CB"
"33","CM20020501085",10,"mysid","Neomysis americana",247,0.138,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,1.736,273,"CB"
"34","CM20020501085",10,"sand shrimp","Crangon septemspinosa",247,0.138,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.211,6,"CB"
"35","CM20020501085",11,"bay anchovy","Anchoa mitchilli",202,0.076,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.108,1,"CB"
"36","CM20020501085",11,"mysid","Neomysis americana",202,0.076,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.009,1,"CB"
"37","CM20020501085",12,"mysid","Neomysis americana",282,0.194,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,2.654,389,"CB"
"38","CM20020501085",13,"mysid","Neomysis americana",298,0.228,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.05,8,"CB"
"39","CM20020501085",14,"no catch","no catch",287,0.216,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0,0,"CB"
"40","CM20020501085",15,"bay anchovy","Anchoa mitchilli",262,0.15,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.241,2,"CB"
"41","CM20020501085",15,"mysid","Neomysis americana",262,0.15,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,2.862,366,"CB"
"42","CM20020501085",16,"mysid","Neomysis americana",268,0.158,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,1.417,187,"CB"
"43","CM20020501085",16,"sand shrimp","Crangon septemspinosa",268,0.158,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.043,1,"CB"
"44","CM20020501085",16,"unidentified drill or snail","Gastropoda",268,0.158,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.001,1,"CB"
"45","CM20020501085",17,"mysid","Neomysis americana",274,0.198,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.951,200,"CB"
"46","CM20020501085",17,"sand shrimp","Crangon septemspinosa",274,0.198,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.06,2,"CB"
"47","CM20020501085",17,"unidentified amphipod","Amphipoda spp.",274,0.198,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.004,4,"CB"
"48","CM20020501085",19,"mysid","Neomysis americana",274,0.204,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,3.091,452,"CB"
"49","CM20020501085",2,"mysid","Neomysis americana",250,0.128,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.935,147,"CB"
"50","CM20020501085",2,"sand shrimp","Crangon septemspinosa",250,0.128,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.035,1,"CB"
"51","CM20020501085",20,"mysid","Neomysis americana",312,0.278,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.485,81,"CB"
"52","CM20020501085",20,"unidentified hydroid","Cnidaria",312,0.278,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.001,1,"CB"
"53","CM20020501085",21,"mysid","Neomysis americana",318,0.254,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,2.07,357,"CB"
"54","CM20020501085",21,"unidentified hydroid","Cnidaria",318,0.254,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0,1,"CB"
"55","CM20020501085",22,"mysid","Neomysis americana",309,0.25,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.55,119,"CB"
"56","CM20020501085",22,"sand shrimp","Crangon septemspinosa",309,0.25,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.002,1,"CB"
"57","CM20020501085",3,"mysid","Neomysis americana",234,0.11,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.265,68,"CB"
"58","CM20020501085",3,"red-eyed amphipod","Monoculodes edwardsi",234,0.11,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.003,3,"CB"
"59","CM20020501085",3,"sand shrimp","Crangon septemspinosa",234,0.11,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.013,3,"CB"
"60","CM20020501085",3,"unidentified amphipod","Amphipoda spp.",234,0.11,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.001,2,"CB"
"61","CM20020501085",4,"bay anchovy","Anchoa mitchilli",232,0.116,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.049,1,"CB"
"62","CM20020501085",4,"mysid","Neomysis americana",232,0.116,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.999,305,"CB"
"63","CM20020501085",4,"sand shrimp","Crangon septemspinosa",232,0.116,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.014,1,"CB"
"64","CM20020501085",5,"bay anchovy","Anchoa mitchilli",214,0.086,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.387,1,"CB"
"65","CM20020501085",5,"mysid","Neomysis americana",214,0.086,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.001,2,"CB"
"66","CM20020501085",6,"bay anchovy","Anchoa mitchilli",208,0.084,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,1.178,3,"CB"
"67","CM20020501085",6,"unidentified polychaete","Polychaeta",208,0.084,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.071,1,"CB"
"68","CM20020501085",7,"bay anchovy","Anchoa mitchilli",234,0.114,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.409,1,"CB"
"69","CM20020501085",9,"mysid","Neomysis americana",192,0.06,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.292,48,"CB"
"70","CM20020501085",9,"sand shrimp","Crangon septemspinosa",192,0.06,2002,"20-May-02",43,7.566,"May",37.32,-76.18,18.6,447.12085119,0.088,3,"CB"
"71","CM20020701016",2,"bay anchovy","Anchoa mitchilli",276,0.198,2002,"14-Jul-02",22,6.254,"July",38.45,-76.34,24.8,267.79931142,1.409,2,"CB"
"72","CM20020701016",3,"bay anchovy","Anchoa mitchilli",268,0.21,2002,"14-Jul-02",22,6.254,"July",38.45,-76.34,24.8,267.79931142,2.708,3,"CB"
"73","CM20020701016",4,"bay anchovy","Anchoa mitchilli",342,0.358,2002,"14-Jul-02",22,6.254,"July",38.45,-76.34,24.8,267.79931142,0.703,2,"CB"
"74","CM20020701016",5,"bay anchovy","Anchoa mitchilli",305,0.272,2002,"14-Jul-02",22,6.254,"July",38.45,-76.34,24.8,267.79931142,1.905,3,"CB"
"75","CM20020701016",6,"bay anchovy","Anchoa mitchilli",276,0.184,2002,"14-Jul-02",22,6.254,"July",38.45,-76.34,24.8,267.79931142,0.133,1,"CB"
"76","CM20020701049",1,"bay anchovy","Anchoa mitchilli",313,0.238,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.177,1,"CB"
"77","CM20020701049",2,"bay anchovy","Anchoa mitchilli",218,0.12,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.682,2,"CB"
"78","CM20020701049",2,"mysid","Neomysis americana",218,0.12,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.04,11,"CB"
"79","CM20020701049",3,"bay anchovy","Anchoa mitchilli",222,0.104,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.161,2,"CB"
"80","CM20020701049",3,"mysid","Neomysis americana",222,0.104,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.001,1,"CB"
"81","CM20020701049",4,"bay anchovy","Anchoa mitchilli",216,0.094,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,1.187,3,"CB"
"82","CM20020701049",5,"bay anchovy","Anchoa mitchilli",42,0.018,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.059,1,"CB"
"83","CM20020701049",5,"mysid","Neomysis americana",42,0.018,2002,"12-Jul-02",5,0.574,"July",37.52,-76.22,26.8,583.17241081,0.002,2,"CB"
"84","CM20020701051",1,"bay anchovy","Anchoa mitchilli",234,0.098,2002,"13-Jul-02",1,0.098,"July",37.77,-76.24,26.3,583.17241081,2.507,2,"CB"
"85","CM20020701051",1,"mysid","Neomysis americana",234,0.098,2002,"13-Jul-02",1,0.098,"July",37.77,-76.24,26.3,583.17241081,0.174,61,"CB"
"86","CM20020701056",11,"mysid","Neomysis americana",206,0.074,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0.01,4,"CB"
"87","CM20020701056",4,"sand shrimp","Crangon septemspinosa",228,0.086,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0.011,1,"CB"
"88","CM20020701056",4,"unidentified material","unidentified material",228,0.086,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0.025,0,"CB"
"89","CM20020701056",5,"mysid","Neomysis americana",240,0.09,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0.052,11,"CB"
"90","CM20020701056",6,"no catch","no catch",230,0.092,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0,0,"CB"
"91","CM20020701056",8,"bay anchovy","Anchoa mitchilli",228,0.084,2002,"12-Jul-02",22,1.996,"July",37.69,-76.1,25.9,759.62508277,0.213,1,"CB"
"92","CM20020701060",1,"mysid","Neomysis americana",286,0.16,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,1.054,5,"CB"
"93","CM20020701060",3,"bay anchovy","Anchoa mitchilli",213,0.082,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,0.675,2,"CB"
"94","CM20020701060",4,"bay anchovy","Anchoa mitchilli",208,0.074,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,0.124,1,"CB"
"95","CM20020701060",4,"mysid","Neomysis americana",208,0.074,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,0.024,5,"CB"
"96","CM20020701060",5,"bay anchovy","Anchoa mitchilli",286,0.184,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,0.736,1,"CB"
"97","CM20020701060",6,"bay anchovy","Anchoa mitchilli",224,0.102,2002,"12-Jul-02",50,5.967,"July",37.65,-76.24,27.1,759.62508277,1.404,5,"CB"
"98","CM20020701063",4,"bay anchovy","Anchoa mitchilli",205,0.07,2002,"12-Jul-02",6,0.616,"July",37.74,-76.21,26.1,759.62508277,0.056,1,"CB"
"99","CM20020701063",5,"no catch","no catch",59,0.002,2002,"12-Jul-02",6,0.616,"July",37.74,-76.21,26.1,759.62508277,0,0,"CB"
"100","CM20020701064",1,"bay anchovy","Anchoa mitchilli",240,0.106,2002,"12-Jul-02",26,3.934,"July",37.69,-76.18,26.5,217.13388262,0.222,2,"CB"
"101","CM20020701064",1,"mysid","Neomysis americana",240,0.106,2002,"12-Jul-02",26,3.934,"July",37.69,-76.18,26.5,217.13388262,0.188,26,"CB"
"102","CM20020701064",2,"bay anchovy","Anchoa mitchilli",256,0.142,2002,"12-Jul-02",26,3.934,"July",37.69,-76.18,26.5,217.13388262,0.832,2,"CB"
"103","CM20020701064",4,"bay anchovy","Anchoa mitchilli",257,0.122,2002,"12-Jul-02",26,3.934,"July",37.69,-76.18,26.5,217.13388262,0.308,1,"CB"
"104","CM20020701064",5,"bay anchovy","Anchoa mitchilli",249,0.112,2002,"12-Jul-02",26,3.934,"July",37.69,-76.18,26.5,217.13388262,0.191,1,"CB"
"105","CM20020701065",1,"mysid","Neomysis americana",47,0.003,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.008,11,"CB"
"106","CM20020701065",2,"mysid","Neomysis americana",112,0.016,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.047,19,"CB"
"107","CM20020701065",3,"bay anchovy","Anchoa mitchilli",216,0.078,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.003,1,"CB"
"108","CM20020701065",3,"mysid","Neomysis americana",216,0.078,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.176,24,"CB"
"109","CM20020701065",4,"mysid","Neomysis americana",232,0.106,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.11,40,"CB"
