"","station","specimenlabelid","sizeclass","preyitemid","preyspeciescode","preyspeciescommon","preyspecieslatin","number","weight_g_py","length_mm_py","lengthtype","piecewhole","comments","length_mm_pd","weight_kg_pd","year","date","count","biomass_kg","season","lat","long","stratum","bottomwatertemp_c","stratumarea_km2"
"1","NM20070901009",1,1,38911,103,"bay anchovy","Anchoa mitchilli",1,0.3898,NA,"","","mush",184,0.062,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"2","NM20070901009",6,2,38916,103,"bay anchovy","Anchoa mitchilli",1,0.5871,45.3,"TL","P","MISSING TAIL",380,0.756,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"3","NM20070901009",3,1,38913,103,"bay anchovy","Anchoa mitchilli",6,0.8271,NA,"","","",139,0.03,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"4","NM20070901009",5,1,38915,103,"bay anchovy","Anchoa mitchilli",2,0.6084,NA,"","","",162,0.048,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"5","NM20070901009",4,1,38914,103,"bay anchovy","Anchoa mitchilli",8,1.051,NA,"","","",178,0.056,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"6","NM20070901009",6,2,38917,103,"bay anchovy","Anchoa mitchilli",80,10.149,NA,"","","",380,0.756,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"7","NM20070901009",2,1,38912,103,"bay anchovy","Anchoa mitchilli",1,0.32,NA,"","","mush",204,0.09,2007,"03-Oct-07",172,9.727,"Fall",40.64,-73.111,"0301",18.97,93.6983
"8","NM20070901011",5,0,38922,103,"bay anchovy","Anchoa mitchilli",2,0.3077,NA,"","","",158,0.042,2007,"03-Oct-07",265,14.386,"Fall",40.63,-73.106,"0302",18.97,164.0061
"9","NM20070901011",2,0,38919,103,"bay anchovy","Anchoa mitchilli",13,0.8124,NA,"","","",178,0.056,2007,"03-Oct-07",265,14.386,"Fall",40.63,-73.106,"0302",18.97,164.0061
"10","NM20070901011",3,0,38920,103,"bay anchovy","Anchoa mitchilli",6,0.7403,NA,"","","",141,0.032,2007,"03-Oct-07",265,14.386,"Fall",40.63,-73.106,"0302",18.97,164.0061
"11","NM20070901011",1,0,38918,103,"bay anchovy","Anchoa mitchilli",1,0.1805,NA,"","","MUSH",163,0.046,2007,"03-Oct-07",265,14.386,"Fall",40.63,-73.106,"0302",18.97,164.0061
"12","NM20070901011",4,0,38921,399,"common anchovies","Anchoa spp.",3,0.7676,NA,"","","",158,0.044,2007,"03-Oct-07",265,14.386,"Fall",40.63,-73.106,"0302",18.97,164.0061
"13","NM20070901013",5,2,38930,399,"common anchovies","Anchoa spp.",2,1.8194,NA,"","","",327,0.342,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"14","NM20070901013",3,2,38928,103,"bay anchovy","Anchoa mitchilli",2,0.5246,NA,"","","",347,0.424,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"15","NM20070901013",6,2,38931,399,"common anchovies","Anchoa spp.",6,0.6048,NA,"","","",328,0.388,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"16","NM20070901013",1,3,38924,5000,"unidentified fish","Actinopterygii",1,2.1215,NA,"","","BONES AND MUSH",484,1.27,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"17","NM20070901013",7,1,38934,699,"mysid","Neomysis americana",47,0.1146,NA,"","","",181,0.058,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"18","NM20070901013",10,1,38937,103,"bay anchovy","Anchoa mitchilli",1,0.1292,NA,"","","MUSH",172,0.054,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"19","NM20070901013",11,1,38938,5000,"unidentified fish","Actinopterygii",1,0.0816,NA,"","","MUSH",167,0.044,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"20","NM20070901013",7,1,38932,504,"wood","Plantae",NA,0.0027,NA,"","","",181,0.058,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"21","NM20070901013",9,1,38936,5000,"unidentified fish","Actinopterygii",1,0.0644,NA,"","","",160,0.038,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"22","NM20070901013",4,2,38929,103,"bay anchovy","Anchoa mitchilli",12,2.0117,NA,"","","",401,0.654,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"23","NM20070901013",2,2,38925,399,"common anchovies","Anchoa spp.",6,1.0911,NA,"","","",383,0.546,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"24","NM20070901013",3,2,38927,604,"sand shrimp","Crangon septemspinosa",1,0.0235,NA,"","","HEAD ONLY",347,0.424,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"25","NM20070901013",7,1,38933,673,"unidentified crustacean","Crustacea",1,0.0159,NA,"","","",181,0.058,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"26","NM20070901013",1,3,38923,7,"weakfish","Cynoscion regalis",1,38.4475,175.9,"TL","W","",484,1.27,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"27","NM20070901013",8,1,38935,5000,"unidentified fish","Actinopterygii",1,0.181,NA,"","","MUSH",198,0.072,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"28","NM20070901013",2,2,38926,211,"Atlantic moonfish","Selene setapinnis",1,1.3918,36.6,"TL","P","MISSING HEAD AND TAIL",383,0.546,2007,"03-Oct-07",259,20.975,"Fall",40.606,-73.38516667,"0401",20.04,93.8983
"29","NM20070901014",2,2,38943,103,"bay anchovy","Anchoa mitchilli",1,0.1945,37.7,"FL","W","",325,0.326,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
